順位,リーグ,チーム,選手名,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁刺,併殺打,失策,打率,長打率,出塁率,OPS
1,セ,D,ビシエド,135,582,512,91,178,26,1,26,284,99,61,51,4,15,0,4,3,4,24,5,0.348,0.555,0.419,0.974
2,セ,G,坂本　勇人,109,502,441,87,152,27,2,18,237,67,83,61,10,0,0,0,9,5,4,9,0.345,0.537,0.424,0.962
3,セ,D,平田　良介,138,568,493,83,162,26,5,9,225,55,69,67,4,3,2,3,8,7,7,1,0.329,0.456,0.41,0.866
4,セ,S,青木　宣親,127,567,495,85,162,37,3,10,235,67,48,51,1,19,0,2,3,4,13,4,0.327,0.475,0.409,0.884
5,セ,D,アルモンテ,132,546,498,56,160,37,0,15,242,77,95,44,1,1,0,3,1,1,16,3,0.321,0.486,0.375,0.861
6,セ,C,鈴木　誠也,124,520,422,86,135,32,2,30,261,94,116,88,2,5,0,5,4,4,4,4,0.32,0.618,0.438,1.057
7,セ,S,雄平,125,482,446,50,142,19,1,11,196,67,62,33,5,1,0,2,6,1,13,4,0.318,0.439,0.365,0.805
8,セ,DB,宮﨑　敏郎,142,590,551,71,175,34,0,28,293,71,45,38,3,1,0,0,0,0,16,11,0.318,0.532,0.363,0.894
9,セ,S,坂口　智隆,139,595,508,64,161,22,4,3,200,37,60,75,5,3,7,2,9,7,15,5,0.317,0.394,0.406,0.8
10,セ,S,山田　哲人,140,637,524,130,165,30,4,34,305,89,119,106,5,4,0,3,33,4,8,13,0.315,0.582,0.432,1.014
11,セ,DB,ソト,107,459,416,74,129,16,0,41,268,95,100,29,2,9,0,5,0,1,5,8,0.31,0.644,0.364,1.008
12,セ,G,岡本　和真,143,616,540,82,167,26,0,33,292,100,120,72,1,4,0,0,2,1,11,7,0.309,0.541,0.394,0.935
13,セ,T,糸井　嘉男,119,509,419,60,129,24,0,16,201,68,63,77,4,8,0,5,22,3,9,3,0.308,0.48,0.42,0.9
14,セ,C,丸　佳浩,125,566,432,109,132,22,0,39,271,97,130,130,8,3,0,1,10,10,5,1,0.306,0.627,0.468,1.096
15,セ,C,松山　竜平,124,446,397,46,120,25,2,12,185,74,46,42,4,2,0,5,2,0,10,6,0.302,0.466,0.368,0.834
16,セ,DB,筒香　嘉智,139,580,495,77,146,33,1,38,295,89,107,80,7,2,0,3,0,0,10,3,0.295,0.596,0.393,0.989
17,セ,DB,ロペス,110,459,441,46,127,23,0,26,228,77,58,16,1,1,0,1,0,0,12,0,0.288,0.517,0.314,0.831
18,セ,C,野間　峻祥,126,447,405,64,116,14,7,5,159,46,69,30,0,6,4,2,17,10,2,1,0.286,0.393,0.343,0.736
19,セ,T,糸原　健斗,143,637,531,79,152,29,4,1,192,35,73,86,1,7,9,4,6,4,5,11,0.286,0.362,0.39,0.752
20,セ,G,マギー,132,547,499,65,142,28,0,21,233,84,92,41,1,1,0,6,2,0,12,7,0.285,0.467,0.336,0.803
21,セ,T,福留　孝介,123,499,414,57,116,26,2,14,188,72,90,73,2,5,0,7,2,1,10,2,0.28,0.454,0.389,0.843
22,セ,D,大島　洋平,141,645,588,92,161,20,7,7,216,57,80,47,2,4,1,5,21,9,2,0,0.274,0.367,0.329,0.697
23,セ,S,バレンティン,142,602,514,72,138,22,0,38,274,131,121,85,5,0,0,3,1,1,15,6,0.268,0.533,0.37,0.904
24,セ,C,田中　広輔,143,675,572,92,150,19,10,10,219,60,118,75,3,17,6,5,32,13,6,7,0.262,0.383,0.362,0.745
25,セ,D,福田　永将,133,487,440,50,115,22,1,13,178,63,119,37,1,5,0,5,0,0,13,10,0.261,0.405,0.322,0.727
26,セ,T,梅野　隆太郎,132,455,386,45,100,27,1,8,153,47,67,39,3,1,28,1,5,1,6,4,0.259,0.396,0.328,0.724
27,セ,D,高橋　周平,128,477,433,35,110,26,2,11,173,69,89,30,1,3,8,3,0,0,9,7,0.254,0.4,0.305,0.704
28,セ,G,亀井　善行,123,461,422,47,107,20,0,13,166,49,70,36,2,2,0,1,4,0,6,6,0.254,0.393,0.315,0.708
29,セ,S,西浦　直亨,138,550,479,57,116,28,0,10,174,55,88,40,1,8,20,3,1,2,10,11,0.242,0.363,0.309,0.673
30,セ,D,京田　陽太,143,632,578,73,136,15,7,4,177,44,111,19,0,6,26,3,20,10,12,6,0.235,0.306,0.266,0.572
31,セ,C,菊池　涼介,139,642,557,85,130,27,1,13,198,60,111,51,2,3,30,1,10,2,5,3,0.233,0.355,0.301,0.656
1,パ,H,柳田　悠岐,130,550,475,95,167,29,5,36,314,102,105,62,4,8,0,5,21,7,8,3,0.352,0.661,0.431,1.092
2,パ,L,秋山　翔吾,143,685,603,107,195,39,8,24,322,82,96,77,4,4,0,1,15,10,3,4,0.323,0.534,0.403,0.937
3,パ,F,近藤　健介,129,555,462,59,149,29,3,9,211,69,90,87,8,1,0,5,5,0,16,5,0.323,0.457,0.427,0.884
4,パ,B,吉田　正尚,143,598,514,77,165,37,2,26,284,86,74,69,10,7,0,8,3,1,9,3,0.321,0.553,0.403,0.956
5,パ,L,浅村　栄斗,143,640,565,104,175,27,0,32,298,127,105,68,4,2,0,5,4,2,18,12,0.31,0.527,0.383,0.91
6,パ,H,中村　晃,136,580,506,57,148,28,1,14,220,57,68,60,4,5,3,6,1,1,5,1,0.292,0.435,0.369,0.804
7,パ,M,井上　晴哉,133,548,476,59,139,26,2,24,241,99,106,63,0,3,0,6,1,0,7,10,0.292,0.506,0.374,0.88
8,パ,E,島内　宏明,103,453,394,53,115,16,3,11,170,53,45,47,0,6,3,3,11,5,10,1,0.292,0.431,0.373,0.805
9,パ,L,外崎　修汰,119,510,453,70,130,24,3,18,214,67,102,47,0,3,6,1,25,9,9,7,0.287,0.472,0.357,0.83
10,パ,M,中村　奨吾,143,639,552,82,157,30,3,8,217,57,94,60,2,22,0,5,39,15,11,6,0.284,0.393,0.374,0.767
